iteration,mau_month0,total_customers_month0,new_signups_percentage_month0,existing_customer_uptake_percentage_month0,total_late_signups,new_customer_uptake_percentage_month0,probability_membership_new_signup_active_next_month0,probabillity_membership_existing_active_next_month0,probability_standard_active_next_month0,counterfactual_ride_revenue_month0,counterfactual_number_rides_taken_month0,total_membership_revenue_month0,treatment_world_number_rides_taken_month0,num_customers_riding_over_breakeven,total_membership_revenue_riders_over_breakeven,total_standard_revenue_riders_over_breakeven,total_membership_ride_mintues_riders_over_breakeven,total_standard_ride_mintues_riders_over_breakeven,num_membership_rides_riders_over_breakeven,num_standard_rides_riders_over_breakeven
0,2076,2276,0.0966186954551436,0.03527988184522119,395,0.061806885155676214,0.6740135350641752,0.5590349694440436,0.23791404787067283,32880.6985667191,6879,18863.62979995755,7278,354,4635.213955936182,109.13712891960925,11885.163989579953,218.30033056310066,2878,24
1,2062,2180,0.05763889999809399,0.013044713595350622,401,0.04567360360865146,0.46398127667366484,0.536289606898186,0.24373618140613246,32109.2834746686,6710,17184.32490598811,6853,305,2773.969730024907,48.30431479072033,7112.742897499762,100.78029433518034,2471,9
2,1858,2006,0.0799074515093261,0.004084743895080389,352,0.11340305917439487,0.5312009863927738,0.5565240030488449,0.1888580067172372,28666.438403441698,5998,14940.882421711287,6087,272,2339.216522000571,107.32108445253762,5997.991082052746,221.33611398086566,2154,21
3,2078,2226,0.07125353255552855,0.01793394904055952,452,0.06921575865611078,0.4603649757244941,0.5169589834829551,0.06195913844224005,33425.825158747844,7055,19806.536446648362,7268,359,3599.027974958206,29.22178191942089,9228.276858867195,54.414825434412535,2930,8
4,1905,2043,0.07271464928308928,0.02998385284720654,377,0.07208287689921714,0.5790127242109897,0.5884591014225312,0.1679334333366843,29740.318345300446,6252,17404.855367727992,6542,316,3775.475021500175,110.96757744252047,9680.705183333781,225.55789087825764,2556,23
5,1944,2059,0.05950030462351103,0.036139467276776284,391,0.08488343492934945,0.6514519046882792,0.4613995564889838,0.3437628489722642,29976.44302492182,6389,18730.063452111455,6753,342,4431.701068913781,0.0,11363.336074137898,0.0,2855,0
6,1868,2017,0.08017162082662616,0.07535906246361827,376,0.1178927173461358,0.6400714180649971,0.49055462302718855,0.2803201354753826,29780.83287319923,6314,21490.813468839122,7037,422,6810.736907996805,216.7450919048181,17463.427969222575,435.24382539696956,3508,47
7,2069,2184,0.055847461591789785,0.07857569503905196,394,0.07837240118380706,0.5380460098853008,0.49786544970912616,0.14657624100230462,32149.811497700943,6740,22436.47967778654,7476,436,7380.195255416042,67.9911549880735,18923.577577989854,135.87475637967566,3617,15
8,1909,2093,0.09681420034931493,0.010831414869768685,401,0.04847206594206263,0.5536658503958419,0.5939471134754498,0.32767669904371466,30586.331229680894,6442,17407.138401597207,6581,334,3044.349326525811,161.86710329748678,7806.023914168747,330.4284699935559,2647,33
9,1900,2019,0.06275920444471535,0.004877930949471626,386,0.06019765817936027,0.5963971733761034,0.5418401219331885,0.1965483390668643,29732.027718120167,6289,16430.449949576458,6344,303,2429.763026399405,310.736300547929,6230.16160615232,630.093078328023,2340,65
