iteration,control1_world_revenue,control2_world_revenue,control3_world_revenue,treatment_world_revenue,control1_world_rides_count,control2_world_rides_count,treatment_world_rides_count,standard_rider_revenue,subscription_revenue,early_membership_signup_revenue,standard_late_signup_revenue,membership_late_signup_revenue,control_world_rides_count,standard_rides_count,early_membership_rides_count,standard_late_signup_rides_count,membership_late_signup_rides_count,total_control_ride_minutes,total_standard_ride_minutes,early_membership_ride_minutes,standard_late_signup_ride_minutes,membership_late_signup_ride_minutes,avg_total_control_ride_minutes,avg_total_standard_ride_minutes,avg_early_membership_ride_minutes,avg_standard_late_signup_ride_minutes,avg_membership_late_signup_ride_minutes
0,30862.019168086503,30694.314814770514,46923.471254332915,44725.76887364458,6501,6433,19707,111.46311865003416,1977.03,0.0,30142.627174635236,12494.648580359311,6794,25,0,9841,9841,62464.151713042316,221.7003042308568,0.0,60927.249165731366,32037.560462459773,30.740232142245233,31.671472032979544,,30.50938866586448,16.04284449797685
1,30864.751317386745,30538.278234515397,47610.65773322504,44108.03119545016,6499,6295,19556,30.18264135346842,1969.1100000000001,0.0,29253.896663427993,12854.841890668697,6794,6,0,9775,9775,62476.28542919678,62.00677270120107,0.0,59074.09400878973,32961.13305299665,30.167206870688933,31.003386350600536,,29.700399199994838,16.5717109366499
2,27609.438239969626,27494.94389098175,43135.40341415219,41337.60141498961,5847,5824,18375,24.003376748524484,1835.46,0.0,27321.26540518298,12156.872633058101,6794,5,0,9185,9185,55801.12369222981,48.726607047498675,0.0,55154.526679956354,31171.468289892564,29.88812195620236,24.363303523749337,,29.748935641831906,16.813089692498686
3,29397.547801665794,29332.034981273828,46416.98147596099,43274.19502476426,6248,6119,19270,29.20117339960033,1943.3700000000001,0.0,28424.285782137915,12877.338069226746,6794,6,0,9632,9632,59357.81487606614,59.490188204103404,0.0,57364.835338815166,33018.81556211985,29.269139485239716,19.830062734701134,,29.223043983094836,16.82058867148235
4,32823.446849829226,32733.75102934071,50949.46688307447,47139.37391230281,6884,6709,20767,84.33277053398969,2086.92,0.0,31367.905031358274,13600.216110410549,6794,21,0,10373,10373,66511.40217904928,162.39171931792228,0.0,63533.08982399557,34872.34900105269,30.109281203734398,23.198817045417467,,30.13903691840397,16.542860057425372
5,31075.028855969475,31431.975869469643,48113.42909911864,45273.51249662222,6572,6465,19859,61.57275538047864,1988.91,0.0,30537.43976832858,12685.589972913162,6794,11,0,9924,9924,62828.27911787044,129.67373174481705,0.0,61919.07632904763,32527.153776700412,30.351825660806977,32.41843293620426,,30.820844364881847,16.19071865440538
6,34699.02751192282,34754.763426118996,53231.854644529856,49720.45295674507,7290,7130,21945,45.58921073207365,2164.1400000000003,0.0,33589.20748338058,13921.516262632416,6794,9,0,10968,10968,70279.55772287902,93.8184890565991,0.0,68049.2499573861,35696.195545211325,31.083395719981876,23.454622264149776,,31.129574545922278,16.329458163408656
7,27629.486433217622,27939.209580389317,44068.50980374306,41340.99783662093,5881,5768,18273,15.847963722247538,1873.0800000000002,0.0,27120.416538751557,12331.65333414713,6794,3,0,9135,9135,55765.34982876314,32.94349672371163,0.0,54880.55522756809,31619.623933710587,28.65639765095742,32.94349672371163,,29.006635955374254,16.712274806400945
8,30578.54087752806,30349.926807878517,46712.10582180275,44275.672329784706,6402,6319,19598,40.08489231499337,1939.41,0.0,29770.247724677723,12525.929712791993,6794,10,0,9794,9794,61991.13045520016,77.140749525624,0.0,60241.660832506976,32117.768494338445,30.94914151532709,25.713583175208,,30.75123064446502,16.394981365154898
9,30744.675890833423,30776.0589766673,47844.474631917124,45671.63259799169,6477,6429,20183,48.385691783271035,2043.3600000000001,0.0,30383.383041415684,13196.503864792736,6794,7,0,10088,10088,62224.80997649595,106.11715841864367,0.0,61500.982157476115,33837.189396904454,29.744173028917757,35.37238613954789,,29.79698747939734,16.39398711090332
