iteration,mau_month0,total_customers_month0,new_signups_percentage_month0,existing_customer_uptake_percentage_month0,total_late_signups,new_customer_uptake_percentage_month0,probability_membership_new_signup_active_next_month0,probabillity_membership_existing_active_next_month0,probability_standard_active_next_month0,counterfactual_ride_revenue_month0,counterfactual_number_rides_taken_month0,total_membership_revenue_month0,treatment_world_number_rides_taken_month0,num_customers_riding_over_breakeven,total_membership_revenue_riders_over_breakeven,total_standard_revenue_riders_over_breakeven,total_membership_ride_mintues_riders_over_breakeven,total_standard_ride_mintues_riders_over_breakeven,num_membership_rides_riders_over_breakeven,num_standard_rides_riders_over_breakeven
0,2076,2276,0.0966186954551436,0.03527988184522119,1286,0.061806885155676214,0.6740135350641752,0.5590349694440436,0.23791404787067283,33240.48858382885,6983,38897.417168543594,7102,1275,8555.278823362245,24.685098326644166,21936.6123675955,50.474611093959396,7802,5
1,2062,2180,0.05763889999809399,0.013044713595350622,1275,0.04567360360865146,0.46398127667366484,0.536289606898186,0.24373618140613246,32485.91773631714,6798,39065.911567845076,6830,1224,8804.313946108065,109.48622863896213,22575.16396437965,229.45186830503113,7643,20
2,1858,2006,0.0799074515093261,0.004084743895080389,1118,0.11340305917439487,0.5312009863927738,0.5565240030488449,0.1888580067172372,29203.886694253248,6106,34018.79609686386,6126,1070,7316.91937901225,37.52035468144229,18761.331741057053,75.69321713190331,6607,8
3,2078,2226,0.07125353255552855,0.01793394904055952,1350,0.06921575865611078,0.4603649757244941,0.5169589834829551,0.06195913844224005,33784.47116372945,7148,41473.90745381815,7208,1311,8856.626076145783,18.27141717419403,22709.297631143032,36.59337736972827,8128,4
4,1905,2043,0.07271464928308928,0.02998385284720654,1178,0.07208287689921714,0.5790127242109897,0.5884591014225312,0.1679334333366843,30210.72269957013,6350,36142.172964655496,6432,1168,8296.192930250887,20.180791650689322,21272.28956474586,38.925106796639284,7267,5
5,1944,2059,0.05950030462351103,0.036139467276776284,1169,0.08488343492934945,0.6514519046882792,0.4613995564889838,0.3437628489722642,30983.944122344146,6474,36360.37030634582,6579,1185,8135.8746750131395,49.837355801955354,20861.21711541831,99.58296359475733,7395,11
6,1868,2017,0.08017162082662616,0.07535906246361827,1117,0.1178927173461358,0.6400714180649971,0.49055462302718855,0.2803201354753826,30344.818835492537,6414,34958.20209040208,6603,1199,8148.983077399014,32.70500861055186,20894.828403587213,65.9102784885945,7494,7
7,2069,2184,0.055847461591789785,0.07857569503905196,1209,0.07837240118380706,0.5380460098853008,0.49786544970912616,0.14657624100230462,32694.932081848012,6830,37221.25912424554,7005,1302,8781.59101719868,50.84060157365713,22516.900044099177,104.71949121450545,7981,10
8,1909,2093,0.09681420034931493,0.010831414869768685,1223,0.04847206594206263,0.5536658503958419,0.5939471134754498,0.32767669904371466,31116.329190576063,6553,37373.84867688861,6596,1172,7809.793001887442,37.24305439867098,20025.11026124985,74.98219076582302,7238,8
9,1900,2019,0.06275920444471535,0.004877930949471626,1194,0.06019765817936027,0.5963971733761034,0.5418401219331885,0.1965483390668643,30406.662153160312,6381,36591.65527469493,6387,1133,7654.548128569313,20.139756005921928,19627.046483511054,41.38398975877418,7026,4
10,2033,2218,0.09136396810240158,0.009880780033695588,1327,0.055247069505648234,0.6234175594593598,0.4655027014695642,0.1853368656156947,33393.407809602766,7025,41144.395206111374,7070,1271,8949.827969194674,0.0,22948.27684408891,0.0,7958,0
11,2074,2203,0.062299908008445065,0.01591771417660684,1285,0.09819476867103274,0.4562159107383469,0.41407684770837505,0.20113247608036564,32668.862211484266,6903,38982.93871136448,6960,1240,8491.519683656257,76.22620306970263,21773.127393990402,156.9902642812888,7672,15
12,1947,2051,0.053465061334546315,0.017806829001991938,1204,0.046490916947005925,0.6310692444926181,0.4302926629095073,0.2916747952514771,30241.317126739857,6376,36684.334715695666,6456,1171,8067.939082769437,26.561086023110647,20687.023289152403,57.84893852079652,7227,4
13,1828,1957,0.07081780388334694,0.007578230412428963,1201,0.0822552198709885,0.4380327107003722,0.4797428900904336,0.26407393798678985,29974.680457082548,6326,37045.43911839977,6354,1138,7923.609249558642,15.630641334609269,20316.946793740106,29.822157268228892,7136,4
14,2055,2196,0.06893639984978857,0.023960396210394964,1256,0.0553016760499864,0.6495798585914956,0.4112649243020881,0.11250962097011004,32927.90517006008,6898,38566.06641806607,6988,1238,8414.883443195036,0.0,21576.624213320603,0.0,7780,0
15,1868,2029,0.08639724701164639,0.008706588706969776,1198,0.06307888601668664,0.6377909210428596,0.4452875881016177,0.08218609130154009,30007.691683689918,6302,36017.42849600501,6324,1139,7560.162620924001,24.886992649846007,19385.03236134359,50.99228884575899,6942,5
16,1912,1981,0.03634911032716791,0.011724951762572045,1189,0.10000990533545202,0.6193888812414733,0.5000982326373391,0.11402299747002272,30231.75802982645,6326,36672.23004203759,6378,1148,7875.650861537764,42.96126217406369,20193.976568045546,81.95195429247099,7168,11
