iteration,month,customers,is_existing_customer,membership_signed_up,tier_chosen,membership_revenue,rides_taken,rides_taken_control,existing_customer_late_signup,additional_rides_taken,total_rides_taken,total_control_ride_minutes,control_ride_minutes_array,total_control_ride_revenue,control_ride_revenue_array,total_standard_minutes,total_membership_minutes,membership_ride_minutes_array,initial_standard_ride_revenue,initial_membership_ride_revenue,adjusted_standard_ride_revenue,adjusted_membership_ride_revenue,initial_standard_ride_revenue_array,initial_membership_ride_revenue_array,adjusted_standard_ride_revenue_array,adjusted_membership_ride_revenue_array,standard_ride_minutes_array
398,0,0,True,True,1.0,3.99,5,5,True,1,6,53.12370472662263,"[17.198671985860035, 5.056618319293644, 7.0656380073936695, 5.685357577661283, 18.117418836413997]",25.718244843382827,"[7.707482074485414, 2.9720811445245214, 3.755598822883531, 3.2172894552879003, 8.06579334620146]",33.04964548934862,6.929184279039973,[6.929184279039973],17.889361740845963,3.7023818688255896,12.889361740845963,2.7023818688255896,"[4.842531150790906, 4.722393955236591, 2.36638621858871, 2.1802032421089748, 3.7778471741207813]",[3.7023818688255896],"[3.842531150790906, 3.7223939552365906, 1.3663862185887103, 1.1802032421089748, 2.7778471741207813]",[2.7023818688255896],"[9.852643976386938, 9.544599885222027, 3.5035544066377184, 3.0261621592537815, 7.1226850618481565]"
398,0,1,True,True,1.0,3.99,3,3,True,4,7,19.423781074701722,"[4.649262045659351, 3.9435436137104425, 10.830975415331928]",10.575274619133673,"[2.8132121978071467, 2.537982009347073, 5.224080411979452]",17.30813706511104,30.91642989866576,"[5.282076173570435, 4.305717829837192, 6.518767759606355, 14.809868135651781]",9.750173455393305,16.057407660479647,6.7501734553933055,12.05740766047965,"[3.0503589857220095, 2.65772115109411, 4.0420933185771855]","[3.06000970769247, 2.679229953636505, 3.5423194262464786, 6.775848572904195]","[2.0503589857220095, 1.65772115109411, 3.042093318577186]","[2.06000970769247, 1.679229953636505, 2.5423194262464786, 5.775848572904195]","[5.257330732620537, 4.250567054087461, 7.8002392784030405]"
398,0,2,True,True,1.0,3.99,4,4,True,1,5,46.83380993531517,"[16.63256165834656, 12.468431123877103, 11.945724919859238, 5.787092233232276]",22.265185874772918,"[7.486699046755159, 5.862688138312071, 5.658832718745103, 3.2569659709605876]",54.533063306939134,10.150700660020059,[10.150700660020059],25.26789468970626,4.958773257407823,21.26789468970626,3.958773257407823,"[6.084547015599764, 8.054340911884404, 6.397369156673073, 4.73163760554902]",[4.958773257407823],"[5.084547015599764, 7.054340911884404, 5.397369156673073, 3.73163760554902]",[3.958773257407823],"[13.037300039999394, 18.08805362021642, 13.83940809403352, 9.568301552689794]"
398,0,3,True,False,,0.0,1,1,,0,1,7.143724068458295,[7.143724068458295],3.786052386698735,[3.786052386698735],7.939419014089854,0.0,[],4.096373415495043,0.0,0.0,0.0,[4.096373415495043],[],[0.0],[],[7.939419014089854]
398,0,4,True,True,1.0,3.99,3,3,True,0,3,27.178430747170804,"[10.071858234761761, 8.17698602400156, 8.929586488407484]",13.599587991396614,"[4.928024711557087, 4.189024549360608, 4.482538730478918]",33.082226025725525,0.0,[],15.902068150032953,0.0,12.902068150032953,0.0,"[4.519727212437492, 6.88875602371617, 4.493584913879292]",[],"[3.519727212437492, 5.88875602371617, 3.4935849138792916]",[],"[9.024941570352544, 15.09937441978505, 8.957910035587927]"
398,0,5,True,False,,0.0,2,2,,0,2,9.943345189451387,"[3.725089401436406, 6.2182557880149805]",5.877904623886041,"[2.452784866560198, 3.4251197573258425]",11.603772720354979,0.0,[],6.525471360938442,0.0,0.0,0.0,"[3.790371800749729, 2.735099560188713]",[],"[0.0, 0.0]",[],"[7.154799489101869, 4.44897323125311]"
398,0,6,True,False,,0.0,2,2,,0,2,13.347808343283004,"[8.023983136242325, 5.323825207040679]",7.2056452538803715,"[4.129353423134507, 3.076291830745865]",34.884101633362896,0.0,[],15.60479963701153,0.0,0.0,0.0,"[5.4680367556980425, 10.136762881313487]",[],"[0.0, 0.0]",[],"[11.456504501789853, 23.427597131573044]"
398,0,7,True,False,,0.0,2,2,,0,2,34.57914606923094,"[23.407632964753443, 11.171513104477494]",15.485866967000065,"[10.128976856253843, 5.356890110746223]",18.825155289778188,0.0,[],9.341810563013494,0.0,0.0,0.0,"[5.076381130674898, 4.265429432338596]",[],"[0.0, 0.0]",[],"[10.452259309422814, 8.372895980355375]"
398,0,8,True,True,1.0,3.99,4,4,True,1,5,29.177948249460506,"[2.5, 4.662643213193443, 12.6947818532331, 9.320523183033965]",15.379399817289599,"[1.975, 2.818430853145443, 5.9509649227609085, 4.6350040413832465]",24.144925269121412,9.997263490519149,[9.997263490519149],13.416520854957351,4.8989327613024685,9.416520854957351,3.8989327613024685,"[4.322446130500406, 3.222231740212935, 3.1953057348719183, 2.6765372493720916]",[4.8989327613024685],"[3.3224461305004067, 2.222231740212935, 2.1953057348719183, 1.6765372493720918]",[3.8989327613024685],"[8.519092642308735, 5.698030103110089, 5.628989063774149, 4.29881345992844]"
398,0,9,True,False,,0.0,1,1,,0,1,9.860383756782939,[9.860383756782939],4.845549665145347,[4.845549665145347],5.638101910504341,0.0,[],3.198859745096693,0.0,0.0,0.0,[3.198859745096693],[],[0.0],[],[5.638101910504341]
398,0,10,True,False,,0.0,1,1,,0,1,8.846900565509651,[8.846900565509651],4.450291220548764,[4.450291220548764],9.852768521001114,0.0,[],4.842579723190434,0.0,0.0,0.0,[4.842579723190434],[],[0.0],[],[9.852768521001114]
398,0,11,True,False,,0.0,1,1,,0,1,3.9431899259651697,[3.9431899259651697],2.5378440711264165,[2.5378440711264165],6.231255194471829,0.0,[],3.430189525844013,0.0,0.0,0.0,[3.430189525844013],[],[0.0],[],[6.231255194471829]
398,0,12,True,True,1.0,3.99,5,5,True,3,8,45.125990471172116,"[10.984744321914947, 6.199280034176292, 4.784292507115552, 6.125504234042227, 17.032169373923093]",22.599136283757126,"[5.284050285546829, 3.4177192133287537, 2.8658740777750653, 3.3889466512764685, 7.642546055830007]",73.16862748618705,11.439603532152509,"[4.095763644353693, 3.3832112584825254, 3.9606286293162904]",33.53576471961295,7.461445377539478,28.535764719612953,4.461445377539478,"[2.540412801960797, 8.655962677908427, 15.086291320422818, 3.86791663368399, 3.3851812856369206]","[2.59734782129794, 2.319452390808185, 2.5446451654333533]","[1.5404128019607974, 7.655962677908427, 14.086291320422818, 2.86791663368399, 2.3851812856369206]","[1.5973478212979402, 1.319452390808185, 1.5446451654333533]","[3.949776415284096, 19.63067353309853, 36.11869569339184, 7.3536323940615125, 6.115849450351078]"
398,0,13,True,True,1.0,3.99,4,4,True,0,4,32.63747693887328,"[5.664884858736986, 9.254364016156265, 12.220230052852612, 5.497998011127411]",16.72861600616058,"[3.2093050949074247, 4.609201966300944, 5.765889720612519, 3.1442192243396905]",39.363553510535965,0.0,[],19.351785869109026,0.0,15.351785869109026,0.0,"[5.641373645936144, 4.072932792430667, 3.2807526915329714, 6.356726739209243]",[],"[4.641373645936144, 3.0729327924306666, 2.2807526915329714, 5.356726739209243]",[],"[11.900958066502934, 7.879314852386324, 5.848083824443516, 13.735196767203186]"
398,0,14,True,False,,0.0,1,1,,0,1,8.07393340208912,[8.07393340208912],4.1488340268147565,[4.1488340268147565],4.276600217336799,0.0,[],2.667874084761352,0.0,0.0,0.0,[2.667874084761352],[],[0.0],[],[4.276600217336799]
398,0,15,True,False,,0.0,1,1,,0,1,21.34402783326928,[21.34402783326928],9.32417085497502,[9.32417085497502],20.262174034781737,0.0,[],8.902247873564878,0.0,0.0,0.0,[8.902247873564878],[],[0.0],[],[20.262174034781737]
398,0,16,True,True,1.0,3.99,3,3,True,0,3,25.496040230146825,"[13.259414312240802, 5.406973612906594, 6.8296523049994295]",12.943455689757261,"[6.171171581773913, 3.1087197090335716, 3.6635643989497777]",19.016773151571268,0.0,[],10.416541529112795,0.0,7.416541529112795,0.0,"[3.380873772510656, 2.2629775766927285, 4.772690179909411]",[],"[2.380873772510656, 1.2629775766927285, 3.7726901799094104]",[],"[6.1048045448991175, 3.238404042801868, 9.673564563870283]"
398,0,17,True,True,1.0,3.99,6,6,True,1,7,55.00401267673209,"[11.587814060468567, 6.0141963935914795, 7.884794090781522, 12.533638966592509, 6.586789815037688, 10.396779350260317]",27.451564943925508,"[5.519247483582741, 3.345536593500677, 4.075069695404794, 5.888119196971079, 3.568848027864698, 5.054743946601524]",48.07303611076261,3.9972281195361554,[3.9972281195361554],24.748484083197418,2.5589189666191006,18.748484083197418,1.5589189666191006,"[3.030898795459722, 5.443354523161699, 6.986377245394152, 3.9179251618540762, 3.394928357327768, 1.975]",[2.5589189666191006],"[2.030898795459722, 4.443354523161699, 5.986377245394152, 2.9179251618540762, 2.394928357327768, 0.9750000000000001]",[1.5589189666191006],"[5.207432808871083, 11.393216726055638, 15.349685244600389, 7.481859389369426, 6.140841941866071, 2.5]"
398,0,18,True,True,1.0,3.99,5,5,True,2,7,68.50382956984447,"[23.41733369043131, 11.19669657009217, 2.8617919350760594, 17.811270805366387, 13.21673656887854]",31.716493532239348,"[10.13276013926821, 5.3667116623359465, 2.116098854679663, 7.946395614092891, 6.154527261862631]",36.18621970603189,14.047648663606932,"[9.892777040130524, 4.154871623476407]",19.112625685352437,7.478582978806703,14.112625685352437,5.4785829788067035,"[3.862067928387263, 2.094119402508217, 4.3919073213742, 5.838910486705654, 2.925620546377105]","[4.858183045650904, 2.6203999331557988]","[2.862067928387263, 1.0941194025082173, 3.3919073213742, 4.838910486705654, 1.9256205463771046]","[3.8581830456509043, 1.620399933155799]","[7.338635713813495, 2.8054343654056852, 8.697198259933845, 12.407462786424754, 4.937488580454114]"
398,0,19,True,True,1.0,3.99,3,3,True,4,7,33.68983960850895,"[9.943404115697504, 16.562264701547814, 7.184170791263625]",16.13903744731849,"[4.877927605122027, 7.459283233603648, 3.801826608592814]",32.28321384446376,28.033360154505573,"[3.7496236680891326, 11.45857961825432, 5.578252686313868, 7.246904181848256]",15.590453399340868,14.933010460257174,12.590453399340868,10.933010460257174,"[4.81580468629092, 6.104666841946493, 4.669981871103454]","[2.4623532305547617, 5.4688460511191845, 3.1755185476624086, 3.82629263092082]","[3.81580468629092, 5.104666841946493, 3.6699818711034546]","[1.4623532305547617, 4.4688460511191845, 2.1755185476624086, 2.82629263092082]","[9.784114580233128, 13.08888933832434, 9.410209925906294]"
398,0,20,True,True,1.0,3.99,4,4,True,2,6,27.101384838616127,"[9.629544075590033, 6.931598516565433, 2.5, 8.040242246460659]",14.569540087060288,"[4.7555221894801125, 3.703323421460519, 1.975, 4.135694476119657]",34.33032568097382,13.65833534631597,"[5.659969893085972, 7.998365453229999]",17.38882701557979,7.326750785063229,13.388827015579789,5.326750785063229,"[3.343478645163802, 4.314452778236694, 5.666084354648265, 4.064811237531028]","[3.207388258303529, 4.1193625267597]","[2.343478645163802, 3.3144527782366944, 4.666084354648265, 3.064811237531028]","[2.207388258303529, 3.1193625267596996]","[6.008919602984108, 8.498596867273575, 11.964318858072474, 7.858490352643661]"
398,0,21,True,True,1.0,3.99,8,8,True,1,9,82.07672963075206,"[5.959973594604474, 10.161239089688857, 4.88367275257869, 12.122829100462447, 5.56550906144782, 10.22665699759622, 22.355476756247626, 10.801372278125925]",40.00992455599331,"[3.3243897018957447, 4.962883244978654, 2.904632373505689, 5.727903349180354, 3.17054853396465, 4.988396229062525, 9.718635934936575, 5.2125351884691105]",93.48642113368236,4.5694466339545174,[4.5694466339545174],44.45970424213612,2.782084187242262,36.45970424213612,1.782084187242262,"[9.01372427665776, 8.578386983772655, 1.975, 2.6035571672797184, 8.683392809761623, 3.339498793588226, 7.26321013865575, 3.0029340724203872]",[2.782084187242262],"[8.01372427665776, 7.5783869837726545, 0.9750000000000001, 1.6035571672797186, 7.683392809761623, 2.339498793588226, 6.26321013865575, 2.0029340724203872]",[1.782084187242262],"[20.54801096578913, 19.43176149685296, 2.5, 4.111685044306971, 19.70100720451698, 5.998714855354425, 16.059513176040383, 5.135728390821505]"
398,0,22,True,False,,0.0,1,1,,0,1,2.5,[2.5],1.975,[1.975],9.736326620342808,0.0,[],4.797167381933695,0.0,0.0,0.0,[4.797167381933695],[],[0.0],[],[9.736326620342808]
398,0,23,True,True,1.0,3.99,8,8,True,3,11,64.20669758754033,"[8.425372787518583, 12.252489668029066, 4.8368532390053085, 13.613718998335887, 10.246575508334752, 7.7015065922026285, 3.504924064691929, 3.625256729422176]",33.04061205914073,"[4.285895387132248, 5.778470970531336, 2.88637276321207, 6.309350409350996, 4.996164448250553, 4.003587570959025, 2.3669203852298524, 2.4138501244746484]",54.273041822051965,19.00242171473722,"[4.857396893216191, 5.686858337295637, 8.458166484225393]",29.166486310600266,10.410944468747516,21.16648631060027,7.410944468747516,"[2.386442395021689, 7.632773965560427, 3.1296702742120375, 2.6842541755313665, 2.5205385514854575, 3.0067700633745464, 3.1128680579045858, 4.693168827510156]","[2.894384788354315, 3.2178747515452986, 4.298684928847903]","[1.3864423950216886, 6.632773965560427, 2.1296702742120375, 1.6842541755313667, 1.5205385514854577, 2.0067700633745464, 2.1128680579045858, 3.693168827510157]","[1.8943847883543146, 2.2178747515452986, 3.298684928847903]","[3.5549805000556116, 17.007112732206224, 5.460693010800096, 4.318600450080427, 3.8988167986806603, 5.14556426506294, 5.417610404883553, 9.469663660282453]"
