iteration,control1_world_revenue,control2_world_revenue,control3_world_revenue,treatment_world_revenue,adjusted_treatment_world_revenue,control1_world_rides_count,control2_world_rides_count,treatment_world_rides_count,standard_rider_revenue,subscription_revenue,early_membership_signup_revenue,standard_late_signup_revenue,membership_late_signup_revenue,late_signup_unused_membership_revenue,early_signup_unused_membership_revenue,standard_rides_count,early_membership_rides_count,standard_late_signup_rides_count,membership_late_signup_rides_count,total_control_ride_minutes,total_standard_ride_minutes,early_membership_ride_minutes,standard_late_signup_ride_minutes,membership_late_signup_ride_minutes,avg_total_control_ride_minutes,avg_total_standard_ride_minutes,avg_early_membership_ride_minutes,avg_standard_late_signup_ride_minutes,avg_membership_late_signup_ride_minutes,relative1_revenue_lift,relative2_revenue_lift,relative3_revenue_lift,adj_relative1_revenue_lift,adj_relative2_revenue_lift,adj_relative3_revenue_lift
0,30793.007743756625,30582.263250867065,34511.592010970824,35831.45964231504,34042.77964231504,6501,6590,10536,18401.730932512968,2761.3900000000003,0.0,11779.054346698242,2889.284363103832,1785.7100000000005,2.9700000000000006,3892,0,3322,3322,62287.1993429657,37204.43828849479,0.0,23756.549606918565,7408.42144385598,30.65314928295556,23.682010368233477,,54.865010639534795,17.109518346087714,0.16362324656577204,0.17164185490094994,0.03824418273502564,0.10553603355675183,0.11315435888643284,-0.01358420001333903
1,30555.18196196333,30826.190674643774,34916.92102302187,35160.78634392308,33438.92634392308,6499,6764,10070,18295.209029339043,2947.08,0.0,11213.500300630489,2704.9970139535426,1716.9100000000005,4.950000000000001,3874,0,3098,3098,61682.51785118802,36977.45904958729,0.0,22734.61615546279,6935.889779368057,29.78392943080059,23.418276788845656,,55.18110717345338,16.834683930504994,0.15073071362144205,0.1406140549453211,0.006984158790530913,0.09437824279854004,0.0847570073401389,-0.0423288948680297
2,27568.04422404777,27612.870127797294,30708.178229890764,31977.2305198519,30486.720519851897,5847,5881,9098,17793.887100700544,2174.37,0.0,9667.781939204753,2341.191479946603,1489.5200000000004,0.9900000000000002,3776,0,2661,2661,55694.98518986607,35943.300258206524,0.0,19558.415228730137,6003.0550767861605,29.831272195964686,23.898470916360722,,55.56367962707425,17.054133740869773,0.15993830610435425,0.1580552971080357,0.04132619917927477,0.10587172133372257,0.10407648240671505,-0.007211685056044912
3,29517.53607238768,29817.533757320634,33283.59229208033,33899.06580337575,32335.79580337575,6248,6477,9482,18828.761605332285,2581.69,0.0,10108.196781716193,2380.417416327271,1555.3500000000006,7.920000000000002,3948,0,2767,2767,59665.47710868635,38155.7989880315,0.0,20508.19687619537,6103.634400839155,29.420846700535673,23.892172190376645,,55.57776931218257,16.541014636420474,0.14843819349430024,0.13688362288021358,0.018491799379536062,0.09547747224147289,0.08445574562104237,-0.028476388016869858
4,32919.61627153577,32787.45168998669,37186.94284181338,37374.056080826405,35535.406080826404,6884,7218,10627,19724.87872401494,3168.71,0.0,11773.925192035318,2706.542164776146,1835.6800000000007,2.9700000000000006,4135,0,3246,3246,66757.99043983532,39974.04801029471,0.0,23840.83382573158,6939.851704554219,30.220910113098835,23.794076196603996,,54.80651454191168,15.953682079434987,0.13531262857222925,0.1398890171217689,0.005031691898120497,0.0794599119173937,0.0838111609533517,-0.044411737959001406
5,31079.398680016355,31261.68579360022,35108.51455034028,35920.17893122828,34144.32893122828,6572,6786,10235,18967.39235169442,2839.26,0.0,11455.230917166977,2658.2956623668806,1774.8600000000006,0.9900000000000002,4011,0,3112,3112,62839.48379491373,38349.72397870364,0.0,23246.74594145378,6816.142724017643,30.357238548267503,24.028649109463434,,55.74759218574048,16.34566600483847,0.1557552738085786,0.14901605653594435,0.023118733198586136,0.09861613742168811,0.0922100988622368,-0.02746301378628556
6,34572.10027722613,34441.01737060124,39217.16027179412,39850.80842863866,37893.52842863866,7290,7536,11534,20727.24659518867,3258.56,0.0,12637.410072124416,3227.5917613255697,1951.3400000000006,5.940000000000001,4354,0,3590,3590,69954.10327493878,41982.683577406846,0.0,25467.71813365235,8275.876311091204,30.939453018548775,24.451184378221807,,53.8429558851001,17.49656725389261,0.15268693857427587,0.15707407826620123,0.016157420691683078,0.09607250137477112,0.10024416587021237,-0.033751343391057495
7,27674.56051399374,28022.869157041125,31517.197719034506,32053.339653296436,30602.839653296436,5881,6047,8989,17718.29654214021,2407.98,0.0,9510.41862377345,2416.6444873827754,1445.5500000000004,4.950000000000001,3741,0,2624,2624,55880.92439485574,35839.221902923615,0.0,19311.329804547306,6196.524326622501,28.715788486565128,23.211931284276954,,55.33332322219859,17.755084030436965,0.1582239810850312,0.1438279026201213,0.017011091501264165,0.10581122463794869,0.0920666075196322,-0.029011401136905396
8,30687.689228805146,30427.317908855595,34353.919118758415,35546.95548404622,33742.31548404622,6402,6546,10389,18208.234749640636,2845.25,0.0,11650.941034140882,2842.529700264705,1797.7100000000005,6.9300000000000015,3789,0,3300,3300,62270.998022577296,36972.39679395035,0.0,23471.64367728431,7288.5376929864215,31.088865712719567,24.19659476043871,,54.08212828867353,16.793865652042445,0.15834578547152073,0.16825793159050023,0.03472780969075429,0.09953914198185498,0.10894807045171168,-0.017803023654970277
9,30725.921839207018,30654.734775370012,34298.09933886152,35655.68193388413,33936.76193388413,6477,6572,10280,18985.606663747552,2617.63,0.0,11330.453470003828,2721.991800132744,1718.9200000000005,0.0,4030,0,3125,3125,62176.72266463337,38347.70939422449,0.0,22962.70120513802,6979.466154186523,29.721186742176563,23.170821386238362,,55.73471166295636,16.940451830549815,0.16044303310003932,0.16313783809123678,0.03958186083753051,0.10449939017224229,0.1070642816701553,-0.010535202006601305
